Wall time,Step,Value
1756569423.7620106,4096,0.0003000000142492354
1756569429.9851098,6144,0.0003000000142492354
1756582508.2970836,8192,9.999999747378752e-05
1756582524.2613685,12288,9.999999747378752e-05
1756582543.665212,16384,9.999999747378752e-05
1756582560.1967082,20480,9.999999747378752e-05
1756582576.9050496,24576,9.999999747378752e-05
1756582593.5997179,28672,9.999999747378752e-05
1756582612.9296906,32768,9.999999747378752e-05
1756582630.5613818,36864,9.999999747378752e-05
1756582647.3310971,40960,9.999999747378752e-05
1756582663.7780259,45056,9.999999747378752e-05
1756582682.7612627,49152,9.999999747378752e-05
1756582704.5788534,53248,9.999999747378752e-05
1756582726.618509,57344,9.999999747378752e-05
1756582745.7046833,61440,9.999999747378752e-05
1756582764.8348742,65536,9.999999747378752e-05
1756582782.5446177,69632,9.999999747378752e-05
1756582802.3584225,73728,9.999999747378752e-05
1756582822.584671,77824,9.999999747378752e-05
1756582842.335915,81920,9.999999747378752e-05
1756582862.2104478,86016,9.999999747378752e-05
1756582883.6371255,90112,9.999999747378752e-05
1756582904.0463917,94208,9.999999747378752e-05
1756582923.9207382,98304,9.999999747378752e-05
1756582944.5831532,102400,9.999999747378752e-05
1756582964.3444636,106496,9.999999747378752e-05
1756582985.6833656,110592,9.999999747378752e-05
1756583005.4096038,114688,9.999999747378752e-05
1756583025.7675898,118784,9.999999747378752e-05
1756583043.4099782,122880,9.999999747378752e-05
1756583061.7448425,126976,9.999999747378752e-05
1756583078.1823788,131072,9.999999747378752e-05
1756583095.089922,135168,9.999999747378752e-05
1756583112.6518328,139264,9.999999747378752e-05
1756583130.8872454,143360,9.999999747378752e-05
1756583151.722372,147456,9.999999747378752e-05
1756583173.1178763,151552,9.999999747378752e-05
1756583193.0302246,155648,9.999999747378752e-05
1756583211.84678,159744,9.999999747378752e-05
1756583232.7401807,163840,9.999999747378752e-05
1756583252.2571857,167936,9.999999747378752e-05
1756583269.903194,172032,9.999999747378752e-05
1756583285.1018548,176128,9.999999747378752e-05
1756583301.9876997,180224,9.999999747378752e-05
1756583318.4130185,184320,9.999999747378752e-05
1756583334.8555613,188416,9.999999747378752e-05
1756583353.9742072,192512,9.999999747378752e-05
1756583372.6592126,196608,9.999999747378752e-05
1756583391.881213,200704,9.999999747378752e-05
1756583410.6839643,204800,9.999999747378752e-05
1756583430.2978458,208896,9.999999747378752e-05
1756583449.131095,212992,9.999999747378752e-05
1756583471.0988731,217088,9.999999747378752e-05
1756583488.616611,221184,9.999999747378752e-05
1756583505.780708,225280,9.999999747378752e-05
1756583521.7028553,229376,9.999999747378752e-05
1756583538.5266562,233472,9.999999747378752e-05
1756583554.5245967,237568,9.999999747378752e-05
1756583570.600826,241664,9.999999747378752e-05
1756583587.3463748,245760,9.999999747378752e-05
1756583604.7248898,249856,9.999999747378752e-05
1756583620.555744,253952,9.999999747378752e-05
1756583637.3208625,258048,9.999999747378752e-05
1756583655.7158499,262144,9.999999747378752e-05
1756583672.1675782,266240,9.999999747378752e-05
1756583688.0580866,270336,9.999999747378752e-05
1756583704.4610376,274432,9.999999747378752e-05
1756583720.9554818,278528,9.999999747378752e-05
1756583736.9172008,282624,9.999999747378752e-05
1756583753.641968,286720,9.999999747378752e-05
1756583769.9537582,290816,9.999999747378752e-05
1756583786.8580165,294912,9.999999747378752e-05
1756583802.3025017,299008,9.999999747378752e-05
1756583817.2996275,303104,9.999999747378752e-05
1756583835.1274853,307200,9.999999747378752e-05
1756583850.9597185,311296,9.999999747378752e-05
1756583870.9925058,315392,9.999999747378752e-05
1756583894.348366,319488,9.999999747378752e-05
1756583911.895165,323584,9.999999747378752e-05
1756583938.4794462,327680,9.999999747378752e-05
1756583964.3228729,331776,9.999999747378752e-05
1756583982.4929729,335872,9.999999747378752e-05
1756584000.220677,339968,9.999999747378752e-05
1756584023.362686,344064,9.999999747378752e-05
1756584043.2758293,348160,9.999999747378752e-05
1756584067.064505,352256,9.999999747378752e-05
1756584089.1752865,356352,9.999999747378752e-05
1756584107.130121,360448,9.999999747378752e-05
1756584123.3837278,364544,9.999999747378752e-05
1756584142.3376935,368640,9.999999747378752e-05
1756584159.6086059,372736,9.999999747378752e-05
1756584176.4529529,376832,9.999999747378752e-05
1756584194.8513088,380928,9.999999747378752e-05
1756584214.115304,385024,9.999999747378752e-05
1756584232.3155594,389120,9.999999747378752e-05
1756584252.2190783,393216,9.999999747378752e-05
1756584270.8222988,397312,9.999999747378752e-05
1756584289.8923874,401408,9.999999747378752e-05
1756584307.998055,405504,9.999999747378752e-05
1756584326.350822,409600,9.999999747378752e-05
1756584342.1031382,413696,9.999999747378752e-05
1756584357.603321,417792,9.999999747378752e-05
1756584375.9784024,421888,9.999999747378752e-05
1756584392.9982233,425984,9.999999747378752e-05
1756584410.5079176,430080,9.999999747378752e-05
1756584429.2281866,434176,9.999999747378752e-05
1756584445.0917234,438272,9.999999747378752e-05
1756584459.9047825,442368,9.999999747378752e-05
1756584474.5564098,446464,9.999999747378752e-05
1756584488.98977,450560,9.999999747378752e-05
1756584512.1014736,454656,9.999999747378752e-05
1756584531.9555302,458752,9.999999747378752e-05
1756584552.2218091,462848,9.999999747378752e-05
1756584570.9508162,466944,9.999999747378752e-05
1756584588.7945156,471040,9.999999747378752e-05
1756584606.0917163,475136,9.999999747378752e-05
