Wall time,Step,Value
1756569423.7619846,4096,-1.0878868103027344
1756569429.9850848,6144,-1.059624433517456
1756582508.2970567,8192,-1.0875741243362427
1756582524.261341,12288,-1.0595635175704956
1756582543.6651425,16384,-1.0190482139587402
1756582560.1966817,20480,-0.959525465965271
1756582576.9050224,24576,-0.9268113970756531
1756582593.5996783,28672,-0.9219494462013245
1756582612.9296634,32768,-0.8850788474082947
1756582630.5613554,36864,-0.8245059847831726
1756582647.3310704,40960,-0.8297015428543091
1756582663.7780008,45056,-0.8260743021965027
1756582682.7612355,49152,-0.8438643217086792
1756582704.5788214,53248,-0.8600723147392273
1756582726.6184578,57344,-0.8434281945228577
1756582745.7046568,61440,-0.8745448589324951
1756582764.8348467,65536,-0.8642879128456116
1756582782.544589,69632,-0.8479055762290955
1756582802.3583925,73728,-0.8425676226615906
1756582822.5846403,77824,-0.8362430334091187
1756582842.3358839,81920,-0.8242411613464355
1756582862.2104156,86016,-0.8229491710662842
1756582883.6370661,90112,-0.8131237626075745
1756582904.046359,94208,-0.8377526998519897
1756582923.9207053,98304,-0.8307210206985474
1756582944.583121,102400,-0.8325050473213196
1756582964.3444316,106496,-0.8117783665657043
1756582985.6833394,110592,-0.8103650212287903
1756583005.4095778,114688,-0.8200218081474304
1756583025.7675374,118784,-0.8211816549301147
1756583043.4099464,122880,-0.822252094745636
1756583061.744815,126976,-0.8107301592826843
1756583078.1823497,131072,-0.8226350545883179
1756583095.089896,135168,-0.8135445713996887
1756583112.6517994,139264,-0.8254627585411072
1756583130.887208,143360,-0.8238348364830017
1756583151.7223394,147456,-0.8316202759742737
1756583173.117828,151552,-0.8203113079071045
1756583193.0301921,155648,-0.8233523368835449
1756583211.8467546,159744,-0.8164814114570618
1756583232.7401285,163840,-0.8058167695999146
1756583252.2571316,167936,-0.8193073868751526
1756583269.9031687,172032,-0.8210569620132446
1756583285.1018262,176128,-0.8095811009407043
1756583301.9876711,180224,-0.8018421530723572
1756583318.4129934,184320,-0.8137397766113281
1756583334.855534,188416,-0.8264463543891907
1756583353.974161,192512,-0.8320651650428772
1756583372.6591856,196608,-0.8272929787635803
1756583391.881186,200704,-0.8399931192398071
1756583410.683897,204800,-0.8263081908226013
1756583430.2977886,208896,-0.843174159526825
1756583449.1310616,212992,-0.8200814127922058
1756583471.0988255,217088,-0.8203842043876648
1756583488.6165857,221184,-0.8251179456710815
1756583505.780682,225280,-0.8212957978248596
1756583521.7028055,229376,-0.8033563494682312
1756583538.5266235,233472,-0.8254468441009521
1756583554.5245717,237568,-0.8331010341644287
1756583570.6007984,241664,-0.8202950358390808
1756583587.3463247,245760,-0.8370180726051331
1756583604.7248647,249856,-0.8491016626358032
1756583620.555706,253952,-0.8348070979118347
1756583637.3208046,258048,-0.8256403207778931
1756583655.7158036,262144,-0.8101180791854858
1756583672.167534,266240,-0.8095492124557495
1756583688.0580602,270336,-0.8010038137435913
1756583704.4610121,274432,-0.7676234245300293
1756583720.955456,278528,-0.797495424747467
1756583736.9171765,282624,-0.7716772556304932
1756583753.6419208,286720,-0.7948186993598938
1756583769.9537268,290816,-0.8011142015457153
1756583786.8579898,294912,-0.7765495181083679
1756583802.3024764,299008,-0.7346651554107666
1756583817.299602,303104,-0.7351457476615906
1756583835.1274602,307200,-0.7156444787979126
1756583850.9596894,311296,-0.7277183532714844
1756583870.9924624,315392,-0.7265623807907104
1756583894.3483372,319488,-0.7160825729370117
1756583911.8950703,323584,-0.7154638767242432
1756583938.479412,327680,-0.7391622066497803
1756583964.3228083,331776,-0.7573078870773315
1756583982.4929447,335872,-0.7410714626312256
1756584000.2206442,339968,-0.7427535057067871
1756584023.3626266,344064,-0.7440967559814453
1756584043.2757854,348160,-0.7537141442298889
1756584067.064471,352256,-0.7480610609054565
1756584089.175258,356352,-0.7507613301277161
1756584107.1300926,360448,-0.7659553289413452
1756584123.383697,364544,-0.7291584014892578
1756584142.33766,368640,-0.7376078367233276
1756584159.6085765,372736,-0.7308074831962585
1756584176.4529126,376832,-0.7302494049072266
1756584194.8512564,380928,-0.7203505635261536
1756584214.1152606,385024,-0.6975967884063721
1756584232.3155265,389120,-0.682231068611145
1756584252.2190108,393216,-0.6980998516082764
1756584270.822273,397312,-0.6857926845550537
1756584289.8923368,401408,-0.702530562877655
1756584307.9980237,405504,-0.6948723196983337
1756584326.3507957,409600,-0.7001033425331116
1756584342.1031122,413696,-0.7323105931282043
1756584357.603293,417792,-0.7348654270172119
1756584375.9783769,421888,-0.744196891784668
1756584392.9981956,425984,-0.725111186504364
1756584410.5078847,430080,-0.7219160795211792
1756584429.2281532,434176,-0.7631508111953735
1756584445.0916977,438272,-0.7549102306365967
1756584459.904757,442368,-0.7528984546661377
1756584474.5563838,446464,-0.7583115696907043
