Wall time,Step,Value
1756569423.762036,4096,-0.01611994579434395
1756569429.9851344,6144,-0.018638795241713524
1756582508.2971103,8192,-0.013093476183712482
1756582524.2613962,12288,-0.007912039756774902
1756582543.6652696,16384,-0.005601868499070406
1756582560.1967337,20480,-0.0059743644669651985
1756582576.9050753,24576,-0.003929662983864546
1756582593.5997655,28672,-0.0015726132551208138
1756582612.9297173,32768,-0.003528495319187641
1756582630.5614083,36864,-0.0044375089928507805
1756582647.3311234,40960,-0.0009430755162611604
1756582663.7780542,45056,-0.0010693598305806518
1756582682.7612891,49152,-0.0011965784942731261
1756582704.5788844,53248,-0.0009532017866149545
1756582726.6185534,57344,-0.0016205620486289263
1756582745.7047093,61440,-0.0032333924900740385
1756582764.8349013,65536,-0.002943463856354356
1756582782.5446458,69632,-0.00157617696095258
1756582802.3584514,73728,-0.0020883500110358
1756582822.5847008,77824,-0.00149572326336056
1756582842.3359623,81920,-0.0015001544961705804
1756582862.2104807,86016,-0.0013774577528238297
1756582883.6371684,90112,-0.0022292044013738632
1756582904.0464234,94208,-0.003226977540180087
1756582923.9207714,98304,-0.001892109401524067
1756582944.5831847,102400,-0.002532456535845995
1756582964.3444953,106496,-0.0038677596021443605
1756582985.6833913,110592,-0.0016659011598676443
1756583005.4096456,114688,-0.0013832185650244355
1756583025.7676225,118784,-0.0034335004165768623
1756583043.4100068,122880,-0.0021152568515390158
1756583061.74487,126976,-0.00117700535338372
1756583078.1824076,131072,-0.0018644047668203712
1756583095.0899582,135168,-0.0032767935190349817
1756583112.6518648,139264,-0.002602796768769622
1756583130.8872786,143360,-0.005229469388723373
1756583151.7224035,147456,-0.0019564516842365265
1756583173.1179097,151552,-0.0016013476997613907
1756583193.0302567,155648,-0.0017450532177463174
1756583211.8468053,159744,-0.0017991875065490603
1756583232.7402153,163840,-0.004081638064235449
1756583252.257222,167936,-0.0014656720450147986
1756583269.9032183,172032,-0.0009750560275278986
1756583285.1018798,176128,-0.0015158270252868533
1756583301.9877284,180224,-0.0014119688421487808
1756583318.4130428,184320,-0.0030739801004529
1756583334.8555875,188416,-0.0011190568329766393
1756583353.9742372,192512,-0.00119448930490762
1756583372.6592386,196608,-0.00284340837970376
1756583391.8812535,200704,-0.0019547634292393923
1756583410.684005,204800,-0.001812875154428184
1756583430.2978804,208896,-0.0010448317043483257
1756583449.1311276,212992,-0.0024586773943156004
1756583471.0989194,217088,-0.0019346136832609773
1756583488.6166363,221184,-0.002455778419971466
1756583505.7807343,225280,-0.003338794456794858
1756583521.7028892,229376,-0.004858887754380703
1756583538.5266883,233472,-0.0017458245856687427
1756583554.5246212,237568,-0.002102457219734788
1756583570.6008527,241664,-0.0023672347888350487
1756583587.3464344,245760,-0.002727543469518423
1756583604.7249148,249856,-0.002391768852248788
1756583620.555791,253952,-0.005012687295675278
1756583637.3209152,258048,-0.0016779036959633231
1756583655.7158823,262144,-0.0036729092244058847
1756583672.1676202,266240,-0.0003866531769745052
1756583688.0581121,270336,-0.00030803927802480757
1756583704.4610624,274432,-0.003942009527236223
1756583720.9555073,278528,-0.0025678060483187437
1756583736.9172251,282624,-0.00020387061522342265
1756583753.6419983,286720,-0.0021335247438400984
1756583769.9537892,290816,-0.002288028597831726
1756583786.858043,294912,-0.002065213629975915
1756583802.3025272,299008,-0.005094531457871199
1756583817.299652,303104,-0.001172233372926712
1756583835.1275098,307200,-0.002539458917453885
1756583850.959747,311296,-0.0011041632387787104
1756583870.9925652,315392,-0.0017439271323382854
1756583894.3484092,319488,-0.0006282663671299815
1756583911.8952532,323584,-0.0002976364630740136
1756583938.47948,327680,-0.001589107676409185
1756583964.322942,331776,-0.0005889920867048204
