Wall time,Step,Value
1756583637.3205824,258048,50.0
1756583655.7156286,262144,50.0
1756583672.1673338,266240,50.0
1756583688.057937,270336,50.0
1756583704.4608862,274432,50.0
1756583720.9553347,278528,50.0
1756583736.9170651,282624,50.0
1756583753.6417856,286720,50.0
1756583769.9535847,290816,50.0
1756583786.8578634,294912,50.0
1756583802.3023632,299008,50.0
1756583817.299488,303104,50.0
1756583835.12734,307200,50.0
1756583850.9595437,311296,50.0
1756583870.99217,315392,50.0
1756583894.3482082,319488,50.0
1756583911.8938668,323584,50.0
1756583938.4792485,327680,50.0
1756583964.3225086,331776,50.0
1756583982.492807,335872,50.0
1756584000.2205002,339968,50.0
1756584023.3623855,344064,50.0
1756584043.2756069,348160,50.0
1756584067.064315,352256,50.0
1756584089.1751168,356352,50.0
1756584107.129968,360448,50.0
1756584123.3835742,364544,50.0
1756584142.3375134,368640,50.0
1756584159.6084473,372736,50.0
1756584176.4527338,376832,50.0
1756584194.851031,380928,50.0
1756584214.1150866,385024,50.0
1756584232.3153186,389120,50.0
1756584252.218727,393216,50.0
1756584270.822152,397312,50.0
1756584289.8921854,401408,50.0
1756584307.9978623,405504,50.0
1756584326.3506799,409600,50.0
1756584342.1029863,413696,50.0
1756584357.6031702,417792,50.0
1756584375.9782634,421888,50.0
1756584392.9980414,425984,50.0
1756584410.5077405,430080,50.0
1756584429.2280054,434176,50.0
1756584445.0915823,438272,50.0
1756584459.9046445,442368,50.0
1756584474.5562668,446464,50.0
1756584488.9894814,450560,50.0
1756584512.1011403,454656,50.0
1756584531.9552543,458752,50.0
1756584552.2215216,462848,50.0
1756584570.950555,466944,50.0
1756584588.7943063,471040,50.0
1756584606.0914958,475136,50.0
1756584623.8568492,479232,50.0
1756584639.4106383,483328,50.0
1756584658.6247458,487424,50.0
1756584677.428032,491520,50.0
1756584694.7140687,495616,50.0
1756584712.231539,499712,50.0
1756584729.8508465,503808,50.0
1756584746.4800487,507904,50.0
1756584765.287814,512000,50.0
1756584783.6741965,516096,50.0
1756584803.4866877,520192,50.0
1756584822.6721516,524288,50.0
1756584842.0816145,528384,50.0
1756584861.3158596,532480,50.0
1756584879.2579122,536576,50.0
1756584895.5391414,540672,50.0
1756584914.1277118,544768,50.0
1756584931.5219936,548864,50.0
1756584947.822427,552960,50.0
1756584965.5872877,557056,50.0
1756584981.0471485,561152,50.0
1756584996.3562264,565248,50.0
1756585015.3276186,569344,50.0
1756585035.6382499,573440,50.0
1756585054.0136905,577536,50.0
1756585074.4274056,581632,50.0
1756585097.285833,585728,50.0
1756585117.8456774,589824,50.0
1756585136.8221762,593920,50.0
1756585160.8280854,598016,50.0
1756585178.151483,602112,50.0
1756585194.0950224,606208,50.0
1756585211.098625,610304,50.0
1756585228.044022,614400,50.0
1756585246.8040185,618496,50.0
1756585269.0773044,622592,50.0
1756585291.1230936,626688,50.0
1756585310.5185404,630784,50.0
1756585328.5904865,634880,50.0
1756585349.3138273,638976,50.0
1756585368.652496,643072,50.0
1756585385.898981,647168,50.0
1756585405.6642704,651264,50.0
1756585423.6754599,655360,50.0
1756585441.8182142,659456,50.0
1756585460.9955163,663552,50.0
1756585478.691555,667648,50.0
1756585495.4964962,671744,50.0
1756585512.6488144,675840,50.0
1756585530.6425734,679936,50.0
1756585548.000374,684032,50.0
1756585566.7316184,688128,50.0
1756585586.2977984,692224,50.0
1756585604.1463273,696320,50.0
1756585621.390749,700416,50.0
1756585640.3428328,704512,50.0
1756585657.991634,708608,50.0
1756585675.6073895,712704,50.0
1756585693.8039641,716800,50.0
1756585712.9112027,720896,50.0
1756585730.4287004,724992,50.0
1756585748.9869537,729088,50.0
1756585768.4098048,733184,50.0
1756585785.656916,737280,50.0
1756585803.3644235,741376,50.0
1756585822.1776829,745472,50.0
1756585840.156855,749568,50.0
1756585858.4739132,753664,50.0
1756585877.4720242,757760,50.0
1756585898.6041017,761856,50.0
1756585923.112916,765952,50.0
1756585951.7375307,770048,50.0
1756585969.9460833,774144,50.0
1756585986.2252185,778240,50.0
1756586006.0645654,782336,50.0
1756586025.6205819,786432,50.0
1756586042.7545552,790528,50.0
1756586062.1689463,794624,50.0
1756586079.4904046,798720,50.0
1756586096.6188204,802816,50.0
1756586115.254389,806912,50.0
1756586133.132899,811008,50.0
1756586152.5309885,815104,50.0
1756586169.9991639,819200,50.0
1756586188.638273,823296,50.0
1756586205.3919215,827392,50.0
1756586221.3704467,831488,50.0
1756586239.1680164,835584,50.0
1756586256.1296844,839680,50.0
1756586272.7566538,843776,50.0
1756586289.6126666,847872,50.0
1756586310.0937052,851968,50.0
1756586328.3706806,856064,50.0
1756586344.6447613,860160,50.0
1756586361.3882442,864256,50.0
1756586376.1581619,868352,50.0
1756586390.2983994,872448,50.0
1756586404.5784812,876544,50.0
1756586421.4446073,880640,50.0
1756586437.2092733,884736,50.0
1756586452.994701,888832,50.0
1756586468.494251,892928,50.0
1756586487.1532931,897024,50.0
1756586504.4597728,901120,50.0
1756586523.1746786,905216,50.0
1756586542.6924844,909312,50.0
1756586561.4768438,913408,50.0
1756586576.5382426,917504,50.0
1756586591.4765975,921600,50.0
1756586607.8908567,925696,50.0
1756586623.3551173,929792,50.0
1756586638.7158778,933888,50.0
1756586653.8256545,937984,50.0
1756586669.3075752,942080,50.0
1756586683.963503,946176,50.0
1756586700.2035065,950272,50.0
1756586717.8015723,954368,50.0
1756586732.6472907,958464,50.0
1756586748.9080405,962560,50.0
1756586768.7582746,966656,50.0
1756586787.2989368,970752,50.0
1756586803.468392,974848,50.0
1756586819.6047244,978944,50.0
1756586838.1955695,983040,50.0
1756586855.2635849,987136,50.0
1756586871.3022773,991232,50.0
1756586886.3878062,995328,50.0
1756586905.2960427,999424,50.0
1756586922.415255,1003520,50.0
