Wall time,Step,Value
1756583870.9923084,315392,226.0
1756583894.3482707,319488,225.0
1756583911.8940468,323584,225.0
1756583938.4793332,327680,224.0
1756583964.3226628,331776,223.0
1756583982.4928713,335872,223.0
1756584000.2205682,339968,223.0
1756584023.3624947,344064,222.0
1756584043.2756796,348160,222.0
1756584067.0643902,352256,221.0
1756584089.1751897,356352,221.0
1756584107.1300275,360448,221.0
1756584123.383638,364544,221.0
1756584142.3375835,368640,221.0
1756584159.6085093,372736,221.0
1756584176.4528027,376832,221.0
1756584194.8511267,380928,221.0
1756584214.1151595,385024,221.0
1756584232.315402,389120,221.0
1756584252.2188587,393216,221.0
1756584270.8222134,397312,221.0
1756584289.8922567,401408,221.0
1756584307.9979444,405504,221.0
1756584326.3507342,409600,221.0
1756584342.1030521,413696,221.0
1756584357.6032286,417792,222.0
1756584375.978319,421888,222.0
1756584392.9981122,425984,222.0
1756584410.5078099,430080,222.0
1756584429.228075,434176,222.0
1756584445.0916386,438272,222.0
1756584459.9046981,442368,223.0
1756584474.5563223,446464,223.0
1756584488.9895818,450560,224.0
1756584512.1012654,454656,223.0
1756584531.9553535,458752,223.0
1756584552.2216318,462848,223.0
1756584570.9506521,466944,223.0
1756584588.794372,471040,223.0
1756584606.0915701,475136,223.0
1756584623.8569086,479232,223.0
1756584639.410707,483328,223.0
1756584658.624818,487424,223.0
1756584677.428085,491520,223.0
1756584694.7141511,495616,223.0
1756584712.2316062,499712,223.0
1756584729.850913,503808,223.0
1756584746.4801185,507904,223.0
1756584765.287882,512000,223.0
1756584783.6742775,516096,223.0
1756584803.486758,520192,223.0
1756584822.6722171,524288,223.0
1756584842.0816824,528384,223.0
1756584861.315935,532480,223.0
1756584879.257995,536576,223.0
1756584895.5391948,540672,223.0
1756584914.1277847,544768,223.0
1756584931.522053,548864,223.0
1756584947.8225007,552960,223.0
1756584965.5873597,557056,223.0
1756584981.0472155,561152,224.0
1756584996.3562808,565248,224.0
1756585015.3276825,569344,224.0
1756585035.6383557,573440,224.0
1756585054.0137565,577536,224.0
1756585074.4274774,581632,224.0
1756585097.2858996,585728,223.0
1756585117.8457801,589824,223.0
1756585136.8222506,593920,223.0
1756585160.8281522,598016,222.0
1756585178.1515398,602112,223.0
1756585194.0950828,606208,223.0
1756585211.0986931,610304,223.0
1756585228.044088,614400,223.0
1756585246.8040853,618496,223.0
1756585269.0773742,622592,223.0
1756585291.123154,626688,222.0
1756585310.5186014,630784,222.0
1756585328.5905502,634880,222.0
1756585349.3138897,638976,222.0
1756585368.652555,643072,222.0
1756585385.8990464,647168,222.0
1756585405.6643326,651264,222.0
1756585423.6755211,655360,222.0
1756585441.818275,659456,222.0
1756585460.9955745,663552,222.0
1756585478.6916134,667648,222.0
1756585495.4965556,671744,222.0
1756585512.6488762,675840,222.0
1756585530.642632,679936,222.0
1756585548.000432,684032,222.0
1756585566.731676,688128,222.0
1756585586.297856,692224,222.0
1756585604.146402,696320,222.0
1756585621.3908086,700416,222.0
1756585640.342913,704512,222.0
1756585657.9916966,708608,222.0
1756585675.6074593,712704,222.0
1756585693.804047,716800,222.0
1756585712.9112642,720896,222.0
1756585730.4287593,724992,222.0
1756585748.98702,729088,222.0
1756585768.4098668,733184,222.0
1756585785.6570005,737280,222.0
1756585803.3644822,741376,222.0
1756585822.1777534,745472,222.0
1756585840.1569178,749568,222.0
1756585858.4739878,753664,222.0
1756585877.4721212,757760,222.0
1756585898.604174,761856,222.0
1756585923.1129978,765952,222.0
1756585951.7376697,770048,221.0
1756585969.946141,774144,221.0
1756585986.2252896,778240,221.0
1756586006.0646245,782336,221.0
1756586025.6206565,786432,221.0
1756586042.7546132,790528,221.0
1756586062.1690724,794624,221.0
1756586079.4904745,798720,221.0
1756586096.6188817,802816,221.0
1756586115.2544568,806912,221.0
1756586133.132999,811008,221.0
1756586152.5310464,815104,221.0
1756586169.9992318,819200,221.0
1756586188.6383326,823296,221.0
1756586205.3920043,827392,221.0
1756586221.3705063,831488,222.0
1756586239.1680896,835584,222.0
1756586256.1297414,839680,222.0
1756586272.7567236,843776,222.0
1756586289.612746,847872,222.0
1756586310.0937815,851968,222.0
1756586328.370741,856064,222.0
1756586344.6448164,860160,222.0
1756586361.388305,864256,222.0
1756586376.1582208,868352,222.0
1756586390.2984607,872448,223.0
1756586404.578538,876544,223.0
1756586421.444685,880640,223.0
1756586437.2093465,884736,223.0
1756586452.9947665,888832,223.0
1756586468.49431,892928,223.0
1756586487.153349,897024,223.0
1756586504.459844,901120,223.0
1756586523.1747475,905216,223.0
1756586542.692552,909312,223.0
1756586561.4769564,913408,223.0
1756586576.5382977,917504,223.0
1756586591.4767017,921600,224.0
1756586607.8909128,925696,224.0
1756586623.3551698,929792,224.0
1756586638.7159927,933888,224.0
1756586653.8257647,937984,224.0
1756586669.307629,942080,224.0
1756586683.9635565,946176,224.0
1756586700.203585,950272,225.0
1756586717.8016634,954368,225.0
1756586732.6473937,958464,225.0
1756586748.9081109,962560,225.0
1756586768.7583358,966656,225.0
1756586787.2989995,970752,225.0
1756586803.468459,974848,225.0
1756586819.6047952,978944,225.0
1756586838.1956363,983040,225.0
1756586855.2636425,987136,225.0
1756586871.3023353,991232,225.0
1756586886.387865,995328,225.0
1756586905.2961102,999424,225.0
1756586922.4153147,1003520,225.0
